14:41:29.154	SERVER	admin	OK	Server was started (port: 1984).
17:54:20.172	127.0.0.1:50368	admin	REQUEST	EXIT	0.33 ms
17:54:20.172	127.0.0.1:50368	admin	OK		0.13 ms
17:54:45.732	127.0.0.1:50372	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.16 ms
17:54:45.736	127.0.0.1:50372	admin	OK	EXEC[0]	3.6 ms
17:54:45.736	127.0.0.1:50372	admin	OK	CLOSE[0]	0.06 ms
17:54:45.737	127.0.0.1:50372	admin	REQUEST	EXIT	0.34 ms
17:54:45.737	127.0.0.1:50372	admin	OK		0.13 ms
17:55:24.196	127.0.0.1:50394	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.1 ms
17:55:24.211	127.0.0.1:50394	admin	OK	EXEC[0]	14.65 ms
17:55:24.212	127.0.0.1:50394	admin	OK	CLOSE[0]	0.07 ms
17:55:24.212	127.0.0.1:50394	admin	REQUEST	EXIT	0.36 ms
17:55:24.212	127.0.0.1:50394	admin	OK		0.15 ms
17:56:20.860	127.0.0.1:50405	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.13 ms
17:56:20.863	127.0.0.1:50405	admin	OK	EXEC[0]	3.44 ms
17:56:20.864	127.0.0.1:50405	admin	OK	CLOSE[0]	0.05 ms
17:56:20.864	127.0.0.1:50405	admin	REQUEST	EXIT	0.29 ms
17:56:20.864	127.0.0.1:50405	admin	OK		0.12 ms
17:56:34.323	127.0.0.1:50410	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.12 ms
17:56:34.327	127.0.0.1:50410	admin	OK	EXEC[0]	3.63 ms
17:56:34.342	127.0.0.1:50410	admin	OK	CLOSE[0]	0.15 ms
17:56:34.343	127.0.0.1:50410	admin	REQUEST	EXIT	0.48 ms
17:56:34.343	127.0.0.1:50410	admin	OK		0.21 ms
18:01:05.915	127.0.0.1:50490	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.11 ms
18:01:05.940	127.0.0.1:50490	admin	OK	EXEC[0]	18.37 ms
18:01:05.940	127.0.0.1:50490	admin	OK	CLOSE[0]	0.08 ms
18:01:05.941	127.0.0.1:50490	admin	REQUEST	EXIT	0.41 ms
18:01:05.941	127.0.0.1:50490	admin	OK		0.17 ms
18:01:15.906	127.0.0.1:50493	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.15 ms
18:01:15.930	127.0.0.1:50493	admin	OK	EXEC[0]	23.55 ms
18:01:15.931	127.0.0.1:50493	admin	OK	CLOSE[0]	0.1 ms
18:01:15.931	127.0.0.1:50493	admin	REQUEST	EXIT	0.33 ms
18:01:15.931	127.0.0.1:50493	admin	OK		0.16 ms
18:03:07.055	127.0.0.1:50537	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.15 ms
18:03:07.059	127.0.0.1:50537	admin	OK	EXEC[0]	3.56 ms
18:03:07.059	127.0.0.1:50537	admin	OK	CLOSE[0]	0.06 ms
18:03:07.060	127.0.0.1:50537	admin	REQUEST	EXIT	0.36 ms
18:03:07.060	127.0.0.1:50537	admin	OK		0.14 ms
18:03:35.717	127.0.0.1:50547	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.1 ms
18:03:35.721	127.0.0.1:50547	admin	OK	EXEC[0]	3.41 ms
18:03:35.721	127.0.0.1:50547	admin	OK	CLOSE[0]	0.06 ms
18:03:35.722	127.0.0.1:50547	admin	REQUEST	EXIT	0.33 ms
18:03:35.722	127.0.0.1:50547	admin	OK		0.13 ms
18:05:13.081	127.0.0.1:50562	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.09 ms
18:05:13.085	127.0.0.1:50562	admin	OK	EXEC[0]	3.43 ms
18:05:13.085	127.0.0.1:50562	admin	OK	CLOSE[0]	0.05 ms
18:05:13.085	127.0.0.1:50562	admin	REQUEST	EXIT	0.27 ms
18:05:13.086	127.0.0.1:50562	admin	OK		0.13 ms
18:05:29.093	127.0.0.1:50563	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.09 ms
18:05:29.097	127.0.0.1:50563	admin	OK	EXEC[0]	3.49 ms
18:05:29.097	127.0.0.1:50563	admin	OK	CLOSE[0]	0.04 ms
18:05:29.098	127.0.0.1:50563	admin	REQUEST	EXIT	0.27 ms
18:05:29.098	127.0.0.1:50563	admin	OK		0.13 ms
18:05:43.030	127.0.0.1:50567	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.1 ms
18:05:43.034	127.0.0.1:50567	admin	OK	EXEC[0]	4.22 ms
18:05:43.034	127.0.0.1:50567	admin	OK	CLOSE[0]	0.04 ms
18:05:43.035	127.0.0.1:50567	admin	REQUEST	EXIT	0.35 ms
18:05:43.035	127.0.0.1:50567	admin	OK		0.16 ms
18:09:45.637	127.0.0.1:50653	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.18 ms
18:09:45.644	127.0.0.1:50653	admin	OK	EXEC[0]	6.81 ms
18:09:45.645	127.0.0.1:50653	admin	OK	CLOSE[0]	0.07 ms
18:09:45.645	127.0.0.1:50653	admin	REQUEST	EXIT	0.43 ms
18:09:45.645	127.0.0.1:50653	admin	OK		0.14 ms
18:19:20.625	127.0.0.1:50770	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.23 ms
18:19:20.638	127.0.0.1:50770	admin	OK	EXEC[0]	13.05 ms
18:19:20.639	127.0.0.1:50770	admin	OK	CLOSE[0]	0.05 ms
18:19:20.639	127.0.0.1:50770	admin	REQUEST	EXIT	0.35 ms
18:19:20.639	127.0.0.1:50770	admin	OK		0.13 ms
